Track name, Artist name, Album, Playlist name, Type, ISRC
Hold The Line (feat. A R I Z O N A),Avicii,TIM,Favorite Songs,Favorite,SE5R71900207
Sleepwalking,Bajillionaire,Sleepwalking,Favorite Songs,Favorite,AUNV01900074
Drive - Tupal Remix,Tiny Tiny,Drive (Tupal Remix),Favorite Songs,Favorite,AUCN31709947
Pompeii,Bastille,Bad Blood,Favorite Songs,Favorite,GBAAA1200795
Counting Stars,OneRepublic,Native,Favorite Songs,Favorite,USUM71301306
Bleeding Out,Imagine Dragons,Night Visions,Favorite Songs,Favorite,USUM71208569
Someday,City of the Sun,City of the Sun,Favorite Songs,Favorite,USUG11903157
Perpetual Motion - Edit,Max Cooper,Perpetual Motion,Favorite Songs,Favorite,GB45A1901704
Losing My Head,Lizzy Land,intro music plays,Favorite Songs,Favorite,GBKPL1951666
Northwind,Kayoh,Northwind,Favorite Songs,Favorite,QZES61998517
Slowing Down,Bronze Whale,Slowing Down,Favorite Songs,Favorite,QZ85M1944816
Ignite,Alan Walker,Ignite,Favorite Songs,Favorite,NOG841803010
Stuck In Orbit (feat. BUOY) - Luttrell Remix,What So Not,Not All The Beautiful Things (Remixes),Favorite Songs,Favorite,GBCFB1800281
Roll Back - TOKiMONSTA Remix,George FitzGerald,All That Must Be (Remixes),Favorite Songs,Favorite,GBCEL1800562
Kingdom,Solar Fields,Mirror's Edge Catalyst (EA Games Soundtrack),Favorite Songs,Favorite,CAN111600273
The Shard,Solar Fields,Mirror's Edge Catalyst (EA Games Soundtrack),Favorite Songs,Favorite,CAN111600280
Flytrap,Solar Fields,Mirror's Edge Catalyst (EA Games Soundtrack),Favorite Songs,Favorite,CAN111600265
Budapest,George Ezra,Wanted on Voyage (Expanded Edition),Favorite Songs,Favorite,GBARL1400477
Stubborn Love,The Lumineers,The Lumineers (Deluxe Edition),Favorite Songs,Favorite,USDMG1260807
Downtown District,Solar Fields,Mirror's Edge Catalyst (EA Games Soundtrack),Favorite Songs,Favorite,CAN111600254
Someday,Dim Sum,Someday,Favorite Songs,Favorite,FRD7T2000060
Falling Up,MTNMEN,Falling Up,Favorite Songs,Favorite,QZFZ21980391
Indian Summer,Lakehouse,Lakehouse,Favorite Songs,Favorite,QZHN51947947
Found You,Kasbo,Found You,Favorite Songs,Favorite,NLRD51632008
Take a Walk,Passion Pit,Gossamer,Favorite Songs,Favorite,USSM11202617
Dissolve Me,alt-J,An Awesome Wave,Favorite Songs,Favorite,GBZUZ1200070
The Ocean (feat. Shy Martin),Mike Perry,The Ocean (feat. Shy Martin),Favorite Songs,Favorite,SE3AA1600005
Measuring the infinite,Stereolit,Measuring the infinite,Favorite Songs,Favorite,FR7JN1901580
Gillette,199X,Gillette,Favorite Songs,Favorite,QZ8LD1795129
Dreamer,Axwell /\ Ingrosso,More Than You Know,Favorite Songs,Favorite,GBUM71706224
Mistaken (feat. Alex Aris),Martin Garrix,Mistaken (feat. Alex Aris),Favorite Songs,Favorite,NLM5S1900480
Giant (with Rag'n'Bone Man),Calvin Harris,Giant (with Rag'n'Bone Man),Favorite Songs,Favorite,GBARL1801703
Earth,K-391,Earth,Favorite Songs,Favorite,GB2LD0902344
Good Morning - PINES Remix,Grouplove,Good Morning (PINES Remix),Favorite Songs,Favorite,USAT21700831
Remember The Love,Kerry Wheeler,Remember The Love,Favorite Songs,Favorite,QZ85M2092338
Tunes for One,Memories Of Glory,Tunes for One,Favorite Songs,Favorite,TCAEK1968946
Anywhere,Attom,Anywhere,Favorite Songs,Favorite,QM24S1844906
Back in the Game,Solar Fields,Mirror's Edge Catalyst (EA Games Soundtrack),Favorite Songs,Favorite,CAN111600256
Savant,Solar Fields,Mirror's Edge Catalyst (EA Games Soundtrack),Favorite Songs,Favorite,CAN111600259
Assassin’s Creed Origins Main Theme,Sarah Schachner,Assassin's Creed Origins (Original Game Soundtrack),Favorite Songs,Favorite,CA2BN1702077
Runaway,Passenger,Runaway (Deluxe),Favorite Songs,Favorite,GBMQN1800007
Worth Living For,Said The Sky,Worth Living For,Favorite Songs,Favorite,USHR22013701
Change Your Mind,Said The Sky,Wide-Eyed,Favorite Songs,Favorite,USA2P1836880
Over & Out - Delamare Remix,Sparrows,Over & Out (Delamare Remix),Favorite Songs,Favorite,AUOKE1800053
Tired,Alan Walker,Tired,Favorite Songs,Favorite,NOG841708010
Mother - 8 Mix,Smallpools,Mother (8 Mix),Favorite Songs,Favorite,GBWWP1703301
Black Flies,Ben Howard,Every Kingdom (Deluxe Version),Favorite Songs,Favorite,GBUM71104732
Grip,Seeb,Grip,Favorite Songs,Favorite,NOUM71800389
Stranger Things (feat. OneRepublic) - Alan Walker Remix,Kygo,Kids in Love (Remixes),Favorite Songs,Favorite,SEBGA1800307
Hotel Walls,Smith & Thell,Hotel Walls,Favorite Songs,Favorite,SEVJH1903501
Rise Up,TheFatRat,Rise Up,Favorite Songs,Favorite,DEUM71905770
Speechless (feat. Erika Sirola),Robin Schulz,Speechless (feat. Erika Sirola),Favorite Songs,Favorite,DEA621801720
Youth,Daughter,If You Leave,Favorite Songs,Favorite,GBAFL1200314
Break The Silence (feat. RBBTS),Seven Lions,Break The Silence (feat. RBBTS),Favorite Songs,Favorite,GBEWA1902590
Be Mine,EMBRZ,Spirit Reset,Favorite Songs,Favorite,USA2P1963927
Daydreams - Sultan + Shepard Echoes of Life Remix,ARTY,Daydreams (Sultan + Shepard Echoes of Life Remix),Favorite Songs,Favorite,NLF712000094
Aurora (Toby Romeo Remix),K-391,Aurora (Toby Romeo Remix),Favorite Songs,Favorite,NOG842009020
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,Favorite Songs,Favorite,USUM71814888
Close To The Sun,TheFatRat,Close To The Sun,Favorite Songs,Favorite,DELJ81944286
Nevada,Vicetone,Nevada,Favorite Songs,Favorite,CA6D21600175
Waiting,Vicetone,Waiting,Favorite Songs,Favorite,CA6D21900139
Heartbeat,Vicetone,Heartbeat,Favorite Songs,Favorite,TCABS1341047
Navigate,Lorne,Maze,Favorite Songs,Favorite,QM7281741004
After All,Luttrell,Into Clouds,Favorite Songs,Favorite,GBEWA1803580
Acid Culture,Tyler Myerberg,Rites,Favorite Songs,Favorite,QZHNA1999721
On Hold,The xx,I See You,Favorite Songs,Favorite,UK7MC1600065
Abandon Window,Jon Hopkins,Immunity,Favorite Songs,Favorite,GBCEL1300087
Hope For Something - Alternate Version,Panama,Hope For Something EP (Alternate Versions),Favorite Songs,Favorite,AUFF01700073
Dream of Something Sweet,K-391,"Hello, World",Favorite Songs,Favorite,TCABS1487261
Peace and Tranquility,Pascal Michael Stiefel,A Hat in Time (Seal the Deal + Nyakuza Metro),Favorite Songs,Favorite,TCAEG1953241
Move Me,Liyr,Move Me,Favorite Songs,Favorite,ushm21880330
Alaska - Toby Green Remix,Maggie Rogers,Alaska (Toby Green Remix),Favorite Songs,Favorite,USUG11700805
Hold Back The River,James Bay,Chaos And The Calm,Favorite Songs,Favorite,USUM71413733
Jungle,Tash Sultana,Notion,Favorite Songs,Favorite,AUBEC1601210
Fast Car,Tracy Chapman,Tracy Chapman,Favorite Songs,Favorite,USEE10180719
Spanish Sahara,Foals,Total Life Forever,Favorite Songs,Favorite,GBAHT1000047
Deep Dark Blue,Approaching Nirvana,Horizons,Favorite Songs,Favorite,QZAPG1734339
Hurricanes,Ken Loi,Hurricanes,Favorite Songs,Favorite,QZK6Q1947361
Where We Come Alive,Ruelle,Where We Come Alive,Favorite Songs,Favorite,QZF921800013
Peace,Alison Wonderland,Peace,Favorite Songs,Favorite,AUUM71900286
